iter	Passed	Remaining
374	453143	755239
375	454196	753772
376	455419	752589
377	456466	751116
378	457823	750153
379	459279	749350
380	460413	748020
381	462021	747458
382	463151	746120
383	464510	745152
384	465674	743868
385	467081	742974
386	467767	740934
387	468710	739305
388	469687	737734
389	471006	736702
390	471832	734900
391	472673	733125
392	473810	731814
393	474718	730150
394	476128	729259
395	477316	728027
396	478636	726997
397	479754	725659
398	480743	724127
399	481441	722161
400	482684	721017
401	484131	720175
402	485035	718526
403	486404	717566
404	487390	716042
405	488477	714669
406	489442	713118
407	490704	712002
408	492065	711029
409	492997	709434
410	494040	708004
411	495021	706486
412	496301	705397
413	497353	703983
414	498173	702245
415	499406	701089
416	500712	700036
417	501788	698662
418	502583	696899
419	504077	696106
420	505029	694565
421	506158	693269
422	507531	692306
423	508237	690435
424	509156	688858
425	509890	687035
426	511198	685987
427	512097	684391
428	513497	683466
429	514850	682476
430	516251	681547
431	517053	679829
432	518116	678457
433	519570	677596
434	520748	676374
435	521987	675230
436	523424	674343
437	524350	672797
438	525814	671940
439	527038	670776
440	527979	669253
441	528893	667698
442	530272	666730
443	531078	665043
444	532441	664056
445	533441	662616
446	534330	661039
447	535569	659898
448	536948	658928
449	538278	657896
450	539404	656613
451	540690	655527
452	542111	654602
453	543150	653216
454	544417	652104
455	545487	650756
456	546403	649227
457	547664	648109
458	548748	646782
459	549916	645554
460	551173	644430
461	552387	643256
462	553342	641781
463	554285	640294
464	555182	638758
465	556505	637712
466	557980	636838
467	559128	635590
468	560538	634639
469	561467	633144
470	562545	631818
471	564003	630918
472	565131	629649
473	566084	628186
474	567590	627337
475	568782	626139
476	569636	624570
477	570779	623319
478	571930	622078
479	573422	621207
480	574502	619889
481	575410	618387
482	576165	616724
483	577442	615620
484	578854	614660
485	580056	613474
486	581120	612145
487	582157	610788
488	583354	609599
489	584332	608182
490	585217	606671
491	586372	605441
492	587274	603952
493	588371	602663
494	589425	601333
495	590313	599834
496	591851	598996
497	592952	597714
498	593850	596230
499	594958	594958
500	596050	593670
501	596885	592129
502	598198	591062
503	599568	590051
504	600578	588685
505	601652	587383
506	603075	586422
507	604370	585335
508	605673	584255
509	606529	582744
510	607410	581260
511	608421	579901
512	609447	578559
513	610362	577113
514	611750	576114
515	612634	574641
516	613647	573291
517	614771	572046
518	616260	571139
519	617585	570078
520	618975	569077
521	620131	567860
522	621212	566574
523	622250	565250
524	623252	563895
525	624188	562481
526	625501	561408
527	626586	560130
528	627417	558627
529	628545	557389
530	629946	556393
531	630965	555060
532	632011	553751
533	633024	552414
534	633978	551027
535	635237	549907
536	636320	548633
537	637143	547138
538	638075	545737
539	638858	544212
540	639817	542839
541	640773	541465
542	642124	540424
543	643329	539261
544	644352	537945
545	645761	536952
546	646880	535716
547	647572	534129
548	648505	532743
549	649848	531694
550	651003	530491
551	652288	529393
552	653586	528305
553	654614	527000
554	655664	525713
555	656788	524485
556	657653	523053
557	658535	521635
558	659707	520449
559	660588	519033
560	661711	517809
561	663169	516847
562	663892	515312
563	665291	514303
564	666173	512894
565	667133	511547
566	667984	510119
567	669493	509192
568	670861	508157
569	672081	507008
570	673375	505916
571	674104	504400
572	674809	502868
573	675561	501374
574	676660	500140
575	678163	499203
576	679777	498346
577	680903	497130
578	682517	496269
579	683833	495189
580	685079	494059
581	686469	493031
582	687553	491783
583	688675	490563
584	689525	489150
585	690575	487880
586	691789	486727
587	692544	485252
588	693340	483808
589	694244	482440
590	695698	481456
591	697009	480371
592	698528	479428
593	699792	478309
594	700648	476911
595	701758	475688
596	702782	474407
597	703720	473069
598	705052	471996
599	705940	470627
600	707296	469569
601	708314	468287
602	709472	467098
603	710767	465999
604	712066	464903
605	712784	463427
606	714061	462316
607	715425	461261
608	716179	459813
609	717060	458448
610	718054	457157
611	719045	455865
612	719855	454460
613	720669	453059
614	721476	451655
615	722430	450346
616	723503	449111
617	724288	447699
618	725583	446602
619	726888	445512
620	727957	444276
621	728721	442856
622	729718	441578
623	731191	440589
624	732163	439297
625	733086	437978
626	734414	436900
627	735687	435789
628	737189	434812
629	738246	433573
630	739754	432598
631	740909	431415
632	741724	430036
633	742748	428779
634	743879	427584
635	744959	426360
636	746109	425176
637	747244	423985
638	747923	422535
639	748998	421311
640	749962	420025
641	751345	418974
642	752196	417626
643	753273	416405
644	754402	415213
645	755755	414144
646	756897	412959
647	757908	411703
648	759161	410578
649	760155	409314
650	761097	408023
651	762564	407013
652	763441	405687
653	764765	404600
654	765674	403294
655	766988	402201
656	767854	400873
657	769298	399848
658	770479	398684
659	771727	397556
660	772757	396316
661	773929	395148
662	775211	394036
663	775810	392579
664	777015	391428
665	778186	390261
666	779393	389112
667	780554	387940
668	781695	386758
669	783081	385697
670	784460	384631
671	785767	383529
672	786752	382270
673	787727	381007
674	788735	379761
675	789420	378361
676	790156	376987
677	791579	375941
678	792689	374746
679	793607	373462
680	794714	372267
681	795729	371029
682	796996	369909
683	798041	368685
684	799097	367468
685	800313	366324
686	801596	365210
687	802462	363907
688	804052	362932
689	805363	361829
690	806340	360577
691	807295	359316
692	808721	358264
693	809842	357077
694	811074	355939
695	812065	354695
696	813181	353506
697	814315	352325
698	815560	351192
699	816623	349981
700	817918	348869
701	818820	347590
702	819812	346350
703	820652	345047
704	821681	343824
705	822550	342535
706	823432	341252
707	824772	340160
708	825701	338898
709	826979	337780
710	828009	336560
711	828824	335254
712	830234	334189
713	831779	333177
714	832638	331890
715	833504	330607
716	834459	329361
717	835836	328281
718	836986	327111
719	837860	325834
720	839198	324738
721	840439	323604
722	841283	322317
723	842339	321112
724	843889	320096
725	845278	319016
726	846132	317736
727	846957	316445
728	848276	315340
729	849187	314082
730	850065	312814
731	851040	311583
732	852554	310548
733	853854	309434
734	854678	308149
735	855867	306995
736	856959	305807
737	858349	304725
738	859248	303469
739	859991	302159
740	861081	300971
741	862163	299781
742	863093	298539
743	864091	297321
744	865185	296137
745	866008	294860
746	867094	293674
747	868220	292501
748	869413	291352
749	870258	290086
750	871449	288935
751	872360	287693
752	873171	286418
753	874288	285245
754	875285	284033
755	876391	282856
756	877344	281631
757	878338	280419
758	879833	279367
759	881172	278264
760	882409	277129
761	883534	275959
762	884898	274863
763	885848	273639
764	886621	272360
765	887690	271174
766	888826	270008
767	889639	268745
768	890625	267535
769	891897	266410
770	892639	265128
771	893813	263975
772	894977	262819
773	895948	261607
774	896933	260400
775	898244	259287
776	899482	258152
777	900659	257000
778	901632	255790
779	902629	254587
780	903505	253351
781	904712	252208
782	906082	251111
783	907225	249949
784	908404	248798
785	909702	247679
786	910584	246447
787	911772	245299
788	912661	244070
789	913644	242867
790	915027	241770
791	915989	240562
792	916898	239341
793	917821	238124
794	919148	237013
795	920252	235843
796	921190	234631
797	922043	233399
798	923265	232260
799	924378	231094
800	925492	229928
801	926541	228747
802	927493	227542
803	928207	226279
804	929237	225094
805	930186	223891
806	931183	222699
807	932151	221501
808	932889	220249
809	933786	219036
810	935212	217947
811	935921	216691
812	936798	215475
813	938215	214383
814	939606	213285
815	940765	212133
