Horizon,LGB,XGB,CAT,Ensemble,Baseline,Improvement
1h,2.006352946032456,2.0220792293548584,2.0098396074187668,2.003832997176706,2.08,+3.7%
2h,2.4647340292365163,2.485246419906616,2.468135408820034,2.4589533166333726,2.55,+3.6%
3h,2.810615702333107,2.822958469390869,2.8107049385932465,2.796284753966762,2.9,+3.6%
4h,3.075456065363173,3.084421396255493,3.0713442713311947,3.0548024568614873,3.17,+3.6%
5h,3.286389621215495,3.306288003921509,3.2912345797903586,3.2692093173091803,3.39,+3.6%
6h,3.4726312213828985,3.4797308444976807,3.462546621297758,3.443396468239091,3.57,+3.5%
12h,4.116242097284992,4.215331077575684,4.207253832146138,4.142134221240335,4.24,+2.3%
24h,4.644001954735085,4.742210388183594,4.721479962492831,4.6628424734466485,4.84,+3.7%
