Model,1h,2h,3h,4h,5h,6h,12h,24h
lgb,0.823458933340647,0.7294171767966804,0.6470767212439311,0.5769413137161283,0.5217827535485713,0.4669627235805245,0.26068130291877256,0.09081869748604365
xgb,0.8204237222671509,0.7257938385009766,0.6479154825210571,0.581372857093811,0.5226247310638428,0.47450095415115356,0.23983407020568848,0.06939095258712769
cat,0.8236592190886503,0.7313002688393648,0.6534157531580607,0.5881798348558042,0.5300323651694863,0.48291593842505176,0.2415091809958615,0.0711592698205229
ensemble,0.8241666844057622,0.7318151056351379,0.6539816906956183,0.5881611234355314,0.5317208028247069,0.4829958337411646,0.25977334603530955,0.09058253344182854
baseline_v4,0.845,0.765,0.697,0.641,0.592,0.55,0.379,0.201
baseline_v1,0.769,0.608,0.479,0.382,0.31,0.252,0.097,-0.061
