Horizon,LGB,XGB,CAT,Ensemble,Baseline,Improvement
1h,0.823458933340647,0.8204237222671509,0.8236592190886503,0.824166689498651,0.845,-2.5%
2h,0.7294171767966804,0.7257938385009766,0.7313002688393648,0.7318151056351379,0.765,-4.3%
3h,0.6470767212439311,0.6479154825210571,0.6534157531580607,0.6539816906956183,0.697,-6.2%
4h,0.5769413137161283,0.581372857093811,0.5881798348558042,0.5881611234355315,0.641,-8.2%
5h,0.5217827535485713,0.5226247310638428,0.5300323651694863,0.5317183366853981,0.592,-10.2%
6h,0.4669627235805245,0.47450095415115356,0.48291593842505176,0.4829958337411646,0.55,-12.2%
12h,0.26068130291877256,0.23983407020568848,0.2415091809958615,0.25977784221267286,0.379,-31.5%
24h,0.09081869748604365,0.06939095258712769,0.0711592698205229,0.0905828639104378,0.201,-54.9%
