iter	RMSE
127	4.641242464
128	4.638372647
129	4.635943002
130	4.633226772
131	4.630936002
132	4.629065483
133	4.628220603
134	4.627445229
135	4.62572775
136	4.624038466
137	4.622203745
138	4.619922086
139	4.618469104
140	4.617702661
141	4.61596076
142	4.612876341
143	4.610304885
144	4.608806582
145	4.60669133
146	4.606015036
147	4.604316741
148	4.603044883
149	4.60194783
150	4.60116857
151	4.598107794
152	4.59603589
153	4.594205398
154	4.592403324
155	4.590593722
156	4.589692417
157	4.588767128
158	4.587057926
159	4.585552881
160	4.584715296
161	4.583179259
162	4.58136304
163	4.580102452
164	4.57949092
165	4.576962884
166	4.575911779
167	4.574450816
168	4.57379703
169	4.573250512
170	4.571564633
171	4.570432694
172	4.569255668
173	4.567663708
174	4.564497124
175	4.563454038
176	4.56247731
177	4.561129764
178	4.560662817
179	4.559881094
180	4.558523989
181	4.557657755
182	4.557147444
183	4.556578434
184	4.555586744
185	4.555035321
186	4.55434508
187	4.553327567
188	4.552248532
189	4.551359201
190	4.549814905
191	4.549209208
192	4.54828146
193	4.546123054
194	4.544010423
195	4.541620408
196	4.540713024
197	4.540225658
198	4.539385231
199	4.538225849
200	4.535355604
201	4.534425108
202	4.533682105
203	4.531990427
204	4.530356277
205	4.529149734
206	4.527867586
207	4.526578442
208	4.526022848
209	4.525009172
210	4.52451845
211	4.52377642
212	4.52188944
213	4.519584768
214	4.519190558
215	4.517986599
216	4.515845228
217	4.514050334
218	4.512445126
219	4.510657494
220	4.509159581
221	4.507470991
222	4.506332011
223	4.50511326
224	4.50421321
225	4.503148637
226	4.502047806
227	4.500766767
228	4.500142624
229	4.499436861
230	4.498454373
231	4.497442173
232	4.496783435
233	4.496407032
234	4.496075178
235	4.494759696
236	4.493282408
237	4.492425388
238	4.491540727
239	4.490239265
240	4.489793354
241	4.487505909
242	4.486879197
243	4.486345976
244	4.484937364
245	4.483452838
246	4.48270153
247	4.481387738
248	4.480728967
249	4.480035203
250	4.47907454
251	4.478617613
252	4.477704854
253	4.477263119
254	4.475869817
255	4.474277848
256	4.473248818
257	4.471744718
258	4.47017803
259	4.469681452
260	4.468397858
261	4.467142259
262	4.465262252
263	4.464394496
264	4.463520661
265	4.462430256
266	4.461643001
267	4.461123076
268	4.459859274
269	4.459372823
270	4.458529787
271	4.457303819
272	4.456303016
273	4.455464115
274	4.455068178
275	4.45442854
276	4.451766652
277	4.450447604
278	4.448856097
279	4.447773262
280	4.446762062
281	4.445077607
282	4.443690338
283	4.442366502
284	4.441309326
285	4.440514156
286	4.43948211
287	4.438498717
288	4.437443201
289	4.436819664
290	4.435031886
291	4.434124924
292	4.432616974
293	4.431667009
294	4.430925399
295	4.42931255
296	4.428118744
297	4.427076908
298	4.425584538
299	4.424992813
300	4.424118308
301	4.423805135
302	4.422569907
303	4.421626139
304	4.42058573
305	4.419705824
306	4.418628702
307	4.417270317
308	4.416860001
309	4.416099991
310	4.414701777
311	4.414259293
312	4.413442346
313	4.412630017
314	4.411086091
315	4.410511279
316	4.409158302
317	4.408303004
318	4.407935662
319	4.407237128
320	4.406207505
321	4.405228216
322	4.404421505
323	4.403749442
324	4.402666966
325	4.401896297
326	4.401634734
327	4.401248329
328	4.400866049
329	4.400634908
330	4.400225608
331	4.398850195
332	4.397733287
333	4.397029652
334	4.396437924
335	4.394754298
336	4.393838463
337	4.393439275
338	4.393162091
339	4.392325329
340	4.39188661
341	4.391223427
342	4.390704421
343	4.390007926
344	4.389174332
345	4.388037097
346	4.387076761
347	4.386319889
348	4.385060124
349	4.38457442
350	4.383923762
351	4.383084718
352	4.382370048
353	4.381982225
354	4.381187699
355	4.380892469
356	4.380295614
357	4.379694242
358	4.379105052
359	4.37862424
360	4.378123111
361	4.376778505
362	4.376453806
363	4.376155826
364	4.375331676
365	4.37465802
366	4.374285803
367	4.373380604
368	4.372262877
369	4.371837879
370	4.371453336
371	4.370605421
372	4.369717754
373	4.369188063
374	4.368681334
375	4.36800572
376	4.367624512
377	4.367029438
378	4.366471034
379	4.365846186
380	4.365171744
381	4.364067147
382	4.363530516
383	4.362734902
384	4.361845471
385	4.360857898
386	4.360533642
387	4.359910751
388	4.35907084
389	4.358522035
390	4.357836234
391	4.357718831
392	4.357016955
393	4.356378139
394	4.355497424
395	4.354936377
396	4.354276791
397	4.353700963
398	4.352804447
399	4.352565953
400	4.35212032
401	4.351668076
402	4.351123176
403	4.350666103
404	4.349880025
405	4.349325389
406	4.348917182
407	4.348483286
408	4.347974767
409	4.347854727
410	4.346919098
411	4.346615704
412	4.345678763
413	4.345480366
414	4.345125536
415	4.344219733
416	4.343807177
417	4.343167431
418	4.342881789
419	4.341917592
420	4.341736729
421	4.341242966
422	4.340677423
423	4.34044023
424	4.339962231
425	4.339660374
426	4.339274116
427	4.339051907
428	4.338513175
429	4.337557222
430	4.33641123
431	4.335852412
432	4.335609359
433	4.334829918
434	4.334105037
435	4.333517579
436	4.332623808
437	4.331899405
438	4.330918365
439	4.330574517
440	4.330316254
441	4.329982281
442	4.329061738
443	4.328518228
444	4.327368192
445	4.327082968
446	4.326807679
447	4.326270063
448	4.32586109
449	4.325255414
450	4.325084356
451	4.324409499
452	4.323792775
453	4.322994012
454	4.322025338
455	4.321280241
456	4.320650991
457	4.319931198
458	4.319237171
459	4.318891015
460	4.318407494
461	4.318027254
462	4.317531142
463	4.316852989
464	4.316212163
465	4.315676707
466	4.315128397
467	4.314887621
468	4.314177708
469	4.313918379
470	4.313724489
471	4.312649924
472	4.312212914
473	4.312077622
474	4.311454193
475	4.310886749
476	4.310651217
477	4.310410944
478	4.310098607
479	4.30960571
480	4.309251306
481	4.308855599
482	4.308742614
483	4.308178064
484	4.307538548
485	4.306957055
486	4.306638968
487	4.306152473
488	4.305719242
489	4.305188369
490	4.30488548
491	4.304482463
492	4.303372367
493	4.302656736
494	4.301783934
495	4.301421492
496	4.300684701
497	4.300106057
498	4.299826239
499	4.299405675
500	4.298484007
501	4.298273133
502	4.297787241
503	4.2970947
504	4.29655537
505	4.295881488
506	4.294433724
507	4.293661115
508	4.29312512
509	4.292807074
510	4.29263044
511	4.291981539
512	4.291563757
513	4.290960792
514	4.290271112
515	4.290063499
516	4.28940114
517	4.289024294
518	4.288200949
519	4.287660823
520	4.286915417
521	4.286581983
522	4.286402908
523	4.286071494
524	4.284943406
525	4.28468376
526	4.284128995
527	4.283442739
528	4.283147841
529	4.282902755
530	4.282217002
531	4.281898046
532	4.28156105
533	4.280808522
534	4.280373748
535	4.279787462
536	4.279415314
537	4.279010207
538	4.278761304
539	4.278534569
540	4.278319823
541	4.278024931
542	4.277655253
543	4.277310736
544	4.27702089
545	4.276422969
546	4.276179093
547	4.276078672
548	4.275380888
549	4.274830534
550	4.274142853
551	4.273789472
552	4.273127023
553	4.272780063
554	4.271772357
555	4.271358561
556	4.271280044
557	4.271094806
558	4.27086862
559	4.270540199
560	4.269591239
561	4.268884543
562	4.268638547
563	4.268201634
564	4.268101481
565	4.267742516
566	4.267456883
567	4.267007396
568	4.266428041
569	4.265900438
570	4.26520596
571	4.264708617
572	4.264514837
573	4.264382935
574	4.263857156
575	4.262327847
576	4.261913586
577	4.261368781
578	4.260698373
579	4.260368813
580	4.259952477
581	4.259567328
582	4.258794817
583	4.258569639
584	4.258414971
585	4.25821051
586	4.257777789
587	4.257509263
588	4.257466827
589	4.256818874
590	4.255927224
591	4.255465909
592	4.254967673
593	4.254263424
594	4.253732005
595	4.253271553
596	4.252761619
597	4.252471408
598	4.251801516
599	4.251629219
600	4.251251265
601	4.250751394
602	4.250484207
603	4.250169219
604	4.249707292
605	4.249512833
606	4.24903557
607	4.248103645
608	4.247913108
609	4.247618899
610	4.247349357
611	4.246943262
612	4.24672297
613	4.246155203
614	4.245934027
615	4.245574294
616	4.245445251
617	4.245335776
618	4.244943123
619	4.24429464
620	4.243199358
621	4.242967662
622	4.242594376
623	4.242224165
624	4.242075827
625	4.241882786
626	4.241200497
627	4.240699332
628	4.240343023
629	4.239970462
630	4.23915325
631	4.238825091
632	4.238674949
633	4.238240181
634	4.237966454
635	4.237509867
636	4.237191517
637	4.236938195
638	4.236821502
639	4.236637238
640	4.236232466
641	4.235677879
642	4.235417777
643	4.234527093
644	4.234253096
645	4.233738715
646	4.232988725
647	4.232407351
648	4.231840833
649	4.231602519
650	4.231221627
651	4.230749946
652	4.23057327
653	4.229730684
654	4.229514692
655	4.228850353
656	4.228664782
657	4.228119776
658	4.227701285
659	4.227237487
660	4.226990641
661	4.226700289
662	4.226386048
663	4.226296133
664	4.22595125
665	4.225744136
666	4.225423802
667	4.225244804
668	4.225072602
669	4.224641832
670	4.224211118
671	4.223880831
672	4.223734964
673	4.223541406
674	4.22340323
675	4.223244595
676	4.223158729
677	4.222688404
678	4.222499347
679	4.222077436
680	4.221823037
681	4.221644957
682	4.221389698
683	4.221249932
684	4.220906903
685	4.220632386
686	4.220084852
687	4.219797174
688	4.219434665
689	4.218856748
690	4.218358813
691	4.218095456
692	4.217385043
693	4.217131046
694	4.216692897
695	4.216372166
696	4.215956344
697	4.215634463
698	4.214955989
699	4.214747004
700	4.214555065
701	4.214267044
702	4.213879726
703	4.213317632
704	4.213183324
705	4.2130421
706	4.212945173
707	4.212753392
708	4.212667997
709	4.212148726
710	4.211565674
711	4.211283553
712	4.210633755
713	4.209596365
714	4.20904561
715	4.20893765
716	4.208500596
717	4.208135026
718	4.207892644
719	4.207641143
720	4.207229958
721	4.206964304
722	4.206513863
723	4.206310457
724	4.205947684
725	4.205301112
726	4.205119776
727	4.204514782
728	4.203861204
729	4.203682504
730	4.20325251
731	4.202902329
732	4.202170473
733	4.201196885
734	4.200809195
735	4.20014655
736	4.199770121
737	4.199141934
738	4.198848957
739	4.198689805
740	4.198278582
741	4.198096153
742	4.198022454
743	4.196905762
744	4.196537522
745	4.196463682
746	4.195999742
747	4.19550307
748	4.195102483
749	4.194931191
750	4.194461813
751	4.194075693
752	4.193353898
753	4.19294455
754	4.192852209
755	4.192710663
756	4.192544266
757	4.191962402
758	4.191545303
759	4.191202394
760	4.190858319
761	4.190375166
762	4.189964048
763	4.189840647
764	4.189673375
765	4.189384403
766	4.189066839
767	4.188652374
768	4.188454639
769	4.188198147
770	4.188010708
771	4.187525115
772	4.187023441
773	4.186724094
774	4.186508771
775	4.186302462
776	4.18593189
777	4.185433166
778	4.185053545
779	4.18455737
780	4.184330104
781	4.183962847
782	4.183727785
783	4.183414123
784	4.18324793
785	4.182820899
786	4.1826979
787	4.182350165
788	4.182120085
789	4.181916408
790	4.181715583
791	4.181509167
792	4.181151219
793	4.180805392
794	4.180298549
795	4.179604812
796	4.179480856
797	4.179307227
798	4.179083274
799	4.178266663
800	4.17793695
801	4.177657242
802	4.177557589
803	4.177375713
804	4.177236334
805	4.177112822
806	4.176788598
807	4.176698713
808	4.176587095
809	4.17633917
810	4.175593649
811	4.175460796
812	4.175365372
813	4.17461697
814	4.174147438
815	4.17333888
816	4.173199403
817	4.172839484
818	4.172473292
819	4.172078057
820	4.171975312
821	4.171371694
822	4.171040482
823	4.170600797
824	4.170396344
825	4.169308344
826	4.169003126
827	4.168534553
828	4.168195393
829	4.167790126
830	4.167552703
831	4.167118709
832	4.166724866
833	4.166483605
834	4.166136656
835	4.165938683
836	4.165551182
837	4.165161942
838	4.164781495
839	4.164422359
840	4.164285846
841	4.164162532
842	4.163975909
843	4.163717395
844	4.163468612
845	4.163251883
846	4.162910003
847	4.16269382
848	4.16241531
849	4.16210025
850	4.161786352
851	4.161622294
852	4.161180286
853	4.160909151
854	4.160482413
855	4.160160083
856	4.158534916
857	4.158087212
858	4.157911746
859	4.157718629
860	4.157393203
861	4.157117654
862	4.156738304
863	4.156316506
864	4.156048414
865	4.155612748
866	4.155309151
867	4.155201231
868	4.154699953
869	4.154598146
870	4.154319171
871	4.153899594
872	4.15360689
873	4.153069814
874	4.152313633
875	4.15195171
876	4.151665742
877	4.151474803
878	4.150968626
879	4.150671582
880	4.150328058
881	4.149418795
882	4.148986711
883	4.148286239
884	4.148156663
885	4.147760742
886	4.147608622
887	4.14721813
888	4.146994546
889	4.146840277
890	4.146651974
891	4.146319597
892	4.146152212
893	4.145180581
894	4.145127765
895	4.144366833
896	4.143801174
897	4.143340869
898	4.143046989
899	4.142885209
900	4.142585344
901	4.142536102
902	4.142168889
903	4.142036165
904	4.141891111
905	4.141550001
906	4.141320862
907	4.141141564
908	4.141018994
909	4.140890124
910	4.140536868
911	4.140198002
912	4.139884013
913	4.138796872
914	4.138516728
915	4.138480227
916	4.138406506
917	4.138330795
918	4.137999008
919	4.137776374
920	4.13760028
921	4.137180984
922	4.136990941
923	4.13688186
924	4.136694724
925	4.136415454
926	4.135968717
927	4.135684257
928	4.135479057
929	4.135357208
930	4.135089776
931	4.134769405
932	4.133890687
933	4.13331382
934	4.133080435
935	4.132610426
936	4.132229286
937	4.131769495
938	4.131703929
939	4.131004676
940	4.130941478
941	4.13080468
942	4.130487194
943	4.130210056
944	4.129797937
945	4.129336526
946	4.129255563
947	4.129037592
948	4.128881931
949	4.128601702
950	4.128432248
951	4.128382021
952	4.128117964
953	4.128025557
954	4.12795849
955	4.127734012
956	4.126889964
957	4.126815799
958	4.126479629
959	4.126356008
960	4.12609726
961	4.125968228
962	4.12571029
963	4.125458925
964	4.124875206
965	4.124669447
966	4.124384462
967	4.124230922
968	4.123951699
969	4.123658423
970	4.123508712
971	4.123069537
972	4.122872004
973	4.122523007
974	4.122265717
975	4.121918481
976	4.121372146
977	4.121184409
978	4.120869526
979	4.120528997
980	4.120359804
981	4.119877887
982	4.119579143
983	4.11884339
984	4.118086729
985	4.117893505
986	4.117620933
987	4.11744082
988	4.117165974
989	4.116899062
990	4.116738513
991	4.116399749
992	4.115994627
993	4.115670982
994	4.115404753
995	4.115154978
996	4.114325407
997	4.113901564
998	4.113613936
999	4.11308043
