Model,1h,2h,3h,4h,5h,6h,12h,24h
lgb,2.006352946032456,2.4647340292365163,2.810615702333107,3.075456065363173,3.286389621215495,3.4726312213828985,4.116242097284992,4.644001954735085
xgb,2.0220792293548584,2.485246419906616,2.822958469390869,3.084421396255493,3.306288003921509,3.4797308444976807,4.215331077575684,4.742210388183594
cat,2.0098396074187668,2.468135408820034,2.8107049385932465,3.0713442713311947,3.2912345797903586,3.462546621297758,4.207253832146138,4.721479962492831
ensemble,2.0038336003130577,2.4589533166333717,2.796284753966762,3.0548024568614873,3.269208649090485,3.443396468239091,4.142153968352561,4.6628428378808975
baseline_v4,2.08,2.55,2.9,3.17,3.39,3.57,4.24,4.84
baseline_v1,2.35,3.11,3.62,4.02,4.3,4.55,5.12,5.85
