Horizon,V1 Baseline,V4 Baseline,V4 Ensemble
12h,0.097,0.379,0.26
1h,0.769,0.845,0.824
24h,-0.061,0.201,0.091
2h,0.608,0.765,0.732
3h,0.479,0.697,0.654
4h,0.382,0.641,0.588
5h,0.31,0.592,0.532
6h,0.252,0.55,0.483
